puck,nbr_homog_k5,nbr_homog_k15,nbr_homog_k30,germ_homog_k15,n_beads,median_umi
DB1,0.4837845292981834,0.42643601161156425,0.3849220422692464,0.48487994808565865,25377,797.0
DB2,0.5367257009739257,0.47663794474538534,0.4333192998213066,0.5300474014971152,35629,426.0
DB3,0.5735975792238885,0.5176625766191156,0.47339695629523715,0.5676460054586097,30073,684.0
HU1,0.36170561974789917,0.33558298319327734,0.3163482580532213,0.37997544157929536,30464,601.5
HU2,0.3789751115636886,0.35180248984196394,0.33098026296085536,0.39708919142832416,33389,600.0
WT1,0.5242237302076908,0.474499051797016,0.43225375282747275,0.5379456774296931,29178,719.0
WT2,0.5236802107609687,0.4701163013251371,0.4264813501311627,0.5328755590634043,29607,782.0
WT3,0.5609861922870779,0.5069889317100975,0.46425818636584054,0.5609827479975354,39181,604.0
