setting,test,strat,bin,n,acc_expr,acc_nbr,acc_smooth,gain_nbr,gain_smooth
DB->DB,DB3,hom_bin,0.6-0.8,6415,0.8932190179267342,0.9072486360093531,0.9473109898674981,0.014029618082618933,0.05409197194076387
DB->DB,DB3,hom_bin,0.8-1,5515,0.9581142339075249,0.9693563009972801,0.9874886672710789,0.01124206708975517,0.029374433363553942
HU->HU,HU1,umi_bin,low,8236,0.39278776104905294,0.43528411850412824,0.43006313744536184,0.042496357455075295,0.0372753763963089
HU->HU,HU1,umi_bin,mid,8233,0.49082958824243894,0.5160937689785011,0.5045548402769343,0.02526418073606218,0.013725252034495372
HU->HU,HU1,umi_bin,high,8234,0.6315278115132378,0.6444012630556231,0.6292203060480933,0.012873451542385284,-0.002307505465144466
HU->HU,HU1,hom_bin,0-0.2,7347,0.35824145909895194,0.30529467809990474,0.2976725193956717,-0.052946780999047205,-0.060568939703280256
HU->HU,HU1,hom_bin,0.2-0.4,7689,0.4669007673299519,0.4812069189751593,0.4834178696839641,0.014306151645207432,0.016517102354012214
HU->HU,HU1,hom_bin,0.4-0.6,5991,0.5785344683692205,0.6668335837088967,0.6538140544149558,0.08829911533967616,0.07527958604573526
HU->HU,HU1,hom_bin,0.6-0.8,2927,0.7403484796720191,0.8520669627605056,0.8185855825076871,0.11171848308848653,0.07823710283566798
HU->HU,HU1,hom_bin,0.8-1,749,0.829105473965287,0.945260347129506,0.8811748998664887,0.11615487316421902,0.05206942590120167
HU->HU,HU2,umi_bin,low,8994,0.3708027573938181,0.42250389148321105,0.4023793640204581,0.05170113408939292,0.03157660662663997
HU->HU,HU2,umi_bin,mid,8982,0.5055666889334224,0.5229347584057003,0.5130260521042084,0.01736806947227787,0.007459363170785993
HU->HU,HU2,umi_bin,high,8981,0.6606168578109342,0.6832201313884868,0.6686337824295735,0.02260327357755265,0.008016924618639343
HU->HU,HU2,hom_bin,0-0.2,7801,0.3448275862068966,0.301884373798231,0.29124471221638254,-0.042943212408665554,-0.053582873990514035
HU->HU,HU2,hom_bin,0.2-0.4,8029,0.4572175862498443,0.47104247104247104,0.4573421347614896,0.013824884792626724,0.0001245485116452838
HU->HU,HU2,hom_bin,0.4-0.6,6189,0.5776377443851995,0.6705445144611407,0.6469542737114234,0.09290677007594117,0.0693165293262239
HU->HU,HU2,hom_bin,0.6-0.8,3483,0.7390180878552972,0.8486936548952053,0.8357737582543784,0.1096755670399081,0.09675567039908117
HU->HU,HU2,hom_bin,0.8-1,1455,0.8927835051546392,0.9553264604810997,0.9436426116838488,0.06254295532646048,0.05085910652920955
WT->DB,DB1,umi_bin,low,7193,0.6371472264701793,0.6388155150841095,0.657027665786181,0.0016682886139302022,0.019880439316001697
WT->DB,DB1,umi_bin,mid,7195,0.7634468380820014,0.7674774148714385,0.7722029186935372,0.004030576789437079,0.008756080611535766
WT->DB,DB1,umi_bin,high,7186,0.8601447258558308,0.8647369885889229,0.865154467019204,0.004592262733092101,0.00500974116337316
WT->DB,DB1,hom_bin,0-0.2,4578,0.48820445609436436,0.45150720838794234,0.4030144167758847,-0.03669724770642202,-0.08519003931847968
WT->DB,DB1,hom_bin,0.2-0.4,4733,0.691316289879569,0.6818085780688781,0.70188041411367,-0.009507711810690878,0.010564124234101024
WT->DB,DB1,hom_bin,0.4-0.6,5354,0.8210683601045947,0.8410534180052297,0.8742995890922675,0.019985057900634984,0.05323122898767274
WT->DB,DB1,hom_bin,0.6-0.8,4576,0.8983828671328671,0.9285402097902098,0.9503933566433567,0.03015734265734271,0.05201048951048959
WT->DB,DB1,hom_bin,0.8-1,2333,0.9614230604372053,0.9794256322331761,0.9867123874839263,0.018002571795970868,0.025289327046721044
WT->DB,DB2,umi_bin,low,10361,0.6152880996042853,0.6415403918540682,0.6725219573400251,0.02625229224978287,0.057233857735739746
WT->DB,DB2,umi_bin,mid,10371,0.7561469482210008,0.760196702343072,0.7762992961141645,0.004049754122071203,0.02015234789316367
WT->DB,DB2,umi_bin,high,10350,0.8636714975845411,0.8671497584541062,0.8714975845410629,0.003478260869565153,0.00782608695652176
WT->DB,DB2,hom_bin,0-0.2,5179,0.5138057540065649,0.4763467850936474,0.4259509557829697,-0.0374589689129175,-0.08785479822359521
WT->DB,DB2,hom_bin,0.2-0.4,6259,0.6708739415242051,0.6630452148905576,0.6686371624860201,-0.007828726633647531,-0.0022367790381849773
WT->DB,DB2,hom_bin,0.4-0.6,8048,0.7782057654075547,0.8044234592445328,0.8390904572564613,0.02621769383697814,0.06088469184890655
WT->DB,DB2,hom_bin,0.6-0.8,6567,0.8395005329678696,0.8740673062281102,0.9180752246078879,0.0345667732602406,0.07857469164001829
