model,WT->WT,DB->DB,HU->HU,WT->DB,WT->HU,WTDB->HU
expr,0.6994078602452442,0.717212652636389,0.4858660692610398,0.7134254464132708,0.3850669611939178,0.38465208784472804
nbr_k15,0.7111181878996969,0.7230301738649919,0.5131607421231841,0.7205681990425759,0.3975489389540817,0.3955700957592406
nbr_only_k15,0.6359216151723716,0.6068693666001773,0.4635561945348355,0.6088270233601559,0.36465826344345453,0.354812632169204
smooth_a0.5,0.7121025064173244,0.7325094148085607,0.5006672129952751,0.7322286944403121,0.4011979864883949,0.3995468514329473
expr_mlp,0.6928639661936776,0.7041917773861831,0.475096113643527,0.7043483459347902,0.36982819149597984,0.3690048870424556
nbr_k15_mlp,0.7046461910349381,0.7084411309162887,0.497532436312327,0.7130712240748749,0.3784816442298034,0.3747600265954583
sage_k15,0.7113079407506439,0.7162600108188791,0.505237537833992,0.7214920484527081,0.3465269391651838,0.3502425747747906
