model,WT->WT,DB->DB,HU->HU,WT->DB,WT->HU,WTDB->HU
expr,0.3904278621216486,0.4052664028314854,0.3090606847531654,0.40903144712523987,0.1806899200643869,0.18193160026771216
nbr_k15,0.39167897968606047,0.4012626261374976,0.32961674291991244,0.41299492900444656,0.1774743386448983,0.1796710669217213
nbr_only_k15,0.31634656838043307,0.29565851029441265,0.27982990514455597,0.3052375239036245,0.1604423299980443,0.16753898682435744
smooth_a0.5,0.3933637406950665,0.41226172379719284,0.3277096830153219,0.415701675952955,0.17867394457631694,0.18123583037539198
expr_mlp,,,,,,
nbr_k15_mlp,,,,,,
sage_k15,,,,,,
