scheme,setting,train,test,model,seed,n_train,n_test,macro_f1,bal_acc,acc,f1_SPG,f1_SPC,f1_RS,f1_ES,f1_TubSom,f1_Interst,f1_Sertoli,f1_Myoid,f1_Leydig,f1_Endothelial,f1_Macrophage
germ4,WT->WT,WT1+WT2,WT3,sage_k15,1,50302,34624,0.728647991216228,0.7602692533010525,0.7897989833641405,0.5133724722765819,0.7692062987116272,0.7376201034737621,0.8943930904029409,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,expr_mlp,2,50302,34624,0.7041087410076611,0.7425478420805951,0.7704193622920518,0.4581037982023775,0.7347664278175859,0.7313368323556654,0.8922279056550156,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,nbr_k15_mlp,2,50302,34624,0.7265649571097346,0.7464430089405001,0.7919939926062847,0.5011701170117012,0.7714270827906008,0.7394671056642887,0.8941955229723477,,,,,,,
germ4,WT->WT,WT1+WT2,WT3,sage_k15,2,50302,34624,0.725680642083753,0.759026759866123,0.7880949630314233,0.5038119440914867,0.7661009690026233,0.7378616664597044,0.8949479887811979,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,expr,0,84926,21574,0.7214555055079434,0.7398208717506248,0.753545934921665,0.5597816817329012,0.7110310480025431,0.782496977025393,0.8325123152709359,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,smooth_a0.25,0,84926,21574,0.7296873698055659,0.7461735665549659,0.7618893112079355,0.5701830863121186,0.721004469035965,0.7906002095494686,0.8369617143247117,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,smooth_a0.5,0,84926,21574,0.7317483791406801,0.744121507068482,0.7647631408176508,0.5771397419589315,0.7198275862068966,0.7945265945707349,0.8354995938261576,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,smooth_a0.75,0,84926,21574,0.6939588674296584,0.6961023113726535,0.7352832112728284,0.5179971847979087,0.6778021978021977,0.7729196050775741,0.8071164820409533,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,smooth_a1.0,0,84926,21574,0.6010577800474171,0.5987527804283832,0.6591267266153703,0.3710387323943662,0.5778322925958965,0.716853777808389,0.7385063173910167,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,nbr_k5,0,84926,21574,0.72861687203365,0.7507925190850707,0.7588300732363029,0.5692332842896844,0.7202323330106486,0.7887260087653015,0.8362758620689655,,,,,,,
