setting,test,auc_own,auc_neighbourhood,auc_ratio
WT->WT,WT3,0.51315232,0.52699016,1.0269663401307432
WT->ob/ob,DB1,0.4989588933333333,0.5344732133333333,1.0711768453764674
WT->ob/ob,DB2,0.5028696133333334,0.51805488,1.0301972246165547
WT->ob/ob,DB3,0.49462192,0.5044216666666667,1.0198126008379627
WT->human,HU1,0.5515599733333333,0.6186201333333333,1.1215827167347265
WT->human,HU2,0.5510938133333333,0.6195695600000001,1.1242542467542613
